        MR         R2
 4.969E+02  6.375E-02
 2.879E+02  5.146E-01
 4.982E+02  1.382E-01
 7.251E+02  2.010E-02
 5.993E+02  2.898E-02
 6.562E+02  1.051E-02
 7.044E+02  4.039E-02
 3.311E+02  3.295E-01
 1.865E+03  7.134E-04
 9.187E+02  3.337E-02
 1.008E+03  4.241E-02
 1.374E+03  1.077E-02
 6.854E+02  5.292E-03
 6.642E+02  2.905E-02
 6.226E+02  1.429E-03
 5.648E+02  2.087E-02
 1.875E+03  2.132E-03
 1.269E+03  5.668E-03
 9.219E+02  1.158E-02
 6.136E+02  2.480E-02
 4.221E+02  1.224E-01
 5.779E+02  8.259E-03
 8.603E+02  5.797E-03
 3.164E+02  7.701E-02
 6.857E+02  1.366E-02
 4.397E+02  4.429E-02
 5.876E+02  1.287E-02
 6.494E+02  3.913E-02
 8.474E+02  1.040E-01
 1.174E+03  3.726E-03
 6.061E+02  2.710E-02
 6.480E+02  3.673E-02
 7.136E+02  1.089E-02
 4.505E+02  1.071E-01
 4.746E+02  2.847E-01
 7.362E+02  2.106E-02
 6.827E+02  8.118E-02
 1.424E+03  2.705E-02
 8.461E+02  2.402E-02
 9.637E+02  3.430E-02
 5.038E+02  3.548E-02
 4.162E+02  4.117E-02
 2.431E+03  3.783E-03
 7.597E+02  5.715E-03
 5.024E+02  3.616E-02
 7.655E+02  5.007E-02
 4.356E+02  3.727E-02
 6.888E+02  5.652E-03
 9.402E+02  1.626E-02
 5.205E+02  2.176E-02
 5.898E+02  2.680E-02
 6.405E+02  3.887E-02
 4.970E+02  8.761E-02
 4.629E+02  4.674E-02
 8.240E+02  1.030E-01
 6.751E+02  6.124E-02
 7.315E+02  5.489E-02
 1.047E+03  4.664E-02
 5.109E+02  1.538E-02
 6.970E+02  6.256E-02
 4.192E+02  1.939E-01
 9.710E+02  2.327E-02
 1.295E+03  1.588E-02
 5.599E+02  1.366E-02
 1.191E+03  1.419E-01
 8.413E+02  1.398E-02
 4.561E+02  1.603E-01
 8.332E+02  2.888E-02
 7.303E+02  3.113E-02
 4.038E+02  2.990E-02
 4.516E+02  3.230E-01
 5.996E+02  8.372E-02
 5.123E+02  2.506E-02
 5.948E+02  1.200E-01
 6.177E+02  8.260E-02
 1.045E+03  2.620E-02
 5.560E+02  5.696E-02
 6.137E+02  1.598E-01
 5.848E+02  1.282E-01
 7.453E+02  4.282E-02
 4.686E+02  1.300E-01
 8.901E+02  5.501E-03
 6.684E+02  4.957E-02
 8.969E+02  1.406E-02
 4.460E+02  2.593E-02
 9.880E+02  9.726E-03
 5.226E+02  4.892E-02
 4.811E+02  7.084E-02
 8.524E+02  1.210E-02
 1.211E+03  6.499E-03
 5.371E+02  3.947E-02
 4.279E+02  9.926E-02
 6.362E+02  2.910E-02
 9.835E+02  1.261E-02
 6.509E+02  3.306E-02
 3.004E+02  3.289E-01
 3.839E+02  6.639E-02
 3.913E+02  1.631E-01
 8.787E+02  3.115E-02
 9.499E+02  8.530E-02
 7.590E+02  4.696E-03
 5.140E+02  2.374E-02
 6.278E+02  2.390E-02
 4.525E+02  3.069E-02
 3.909E+02  1.506E-01
 8.845E+02  2.350E-02
 3.688E+02  1.004E-01
 6.959E+02  1.697E-02
 5.728E+02  4.113E-02
 7.649E+02  1.823E-02
 5.358E+02  9.921E-03
 8.650E+02  2.015E-01
 7.498E+02  2.049E-02
 6.521E+02  6.416E-03
 4.419E+02  9.013E-02
 9.526E+02  1.472E-02
 6.676E+02  3.287E-02
 8.036E+02  1.155E-02
 7.355E+02  5.339E-02
 4.105E+02  1.940E-02
 5.373E+02  9.777E-02
 8.088E+02  5.250E-02
 4.109E+02  1.506E-01
 5.620E+02  2.200E-02
 6.310E+02  3.003E-02
 5.823E+02  4.284E-02
