weight int_weight lept1_pt lept1_eta lept1_phi lept1_charge lept1_pfx lept1_sip lept2_pt lept2_eta lept2_phi lept2_charge lept2_pfx lept2_sip lept3_pt lept3_eta lept3_phi lept3_charge lept3_pfx lept3_sip lept4_pt lept4_eta lept4_phi lept4_charge lept4_pfx lept4_sip iso_max sip_max Z1mass Z2mass angle_costhetastar angle_costheta1 angle_costheta2 angle_phi angle_phistar1 KD psKD gravKD pt4l mass4l pfmet jet1_pt jet1_eta jet1_phi jet1_et jet2_pt jet2_eta jet2_phi jet2_et deltaetajj massjj VD njets
0.643226 0.582241 39.5854 1.44655 -0.615956 -1 0.145874 0.445939 31.0407 0.0633218 2.51664 1 0.395164 0.440421 23.3412 1.14072 -2.93792 -1 0.177227 2.41469 13.3855 0.969191 0.712303 1 0.0975581 1.1769 0.34098 2.41469 87.5534 34.3502 -0.497373 0.394721 0.669597 -1.67701 -0.212037 0.762715 2.98311e+17 0 5.63266 125.514 11.5954 76.1281 -1.27007 -0.276166 76.5945 71.925 0.650908 2.26096 73.9264 1.92098 220.838 0.388177 3
2.1151 0.503113 33.8431 0.258798 -2.48244 -1 0.0991599 0.336333 59.688 -0.742032 1.6346 1 0.044626 0.884025 18.5865 -0.707345 2.33762 1 0.180888 0.457743 16.6326 0.174737 -2.43361 -1 0.321969 0.983853 0.190683 0.983853 92.2161 28.9576 -0.140962 -0.820519 0.518564 -0.125303 -0.789051 0.672081 2.98311e+17 0 69.7193 125.319 51.6445 74.4097 2.89801 -0.962893 74.4154 41.836 2.86646 1.1682 41.8562 0.0315573 100.093 0.0248982 2
0.711982 0.519835 60.3608 -1.14238 -2.95425 1 0.120261 1.14821 33.4851 -0.898393 0.496636 -1 0.262273 0.864537 12.273 -1.38804 -0.521675 -1 0.224182 0.486012 5.69428 0.685651 -1.39832 1 0.540098 0.492816 0.317252 1.14821 89.5206 21.8028 -0.461664 -0.638951 -0.0258243 -1.16952 -1.69745 0.779139 2.98311e+17 0 19.5484 122.088 32.2955 32.6699 1.11658 0.605483 33.1956 30.9575 -2.10765 2.61581 31.055 3.22423 163.71 0.611794 2
0.689759 0.623721 89.0127 -1.27292 0.863813 -1 0.113238 1.88064 74.3373 -0.374229 0.361482 1 0.0730199 0.43491 48.2472 -0.478792 0.407417 -1 0.115407 1.0241 23.5069 -0.920561 1.3518 1 0.145907 2.02515 0.106047 2.02515 85.724 34.111 -0.895205 0.737298 0.290535 -2.85379 -2.04492 0.548566 2.98311e+17 0 223.041 123.109 24.158 149.995 0.373122 -2.69147 151.419 64.8821 -3.31243 -1.93681 64.8874 3.68555 614.34 0.781353 2
0.644091 1.12772 34.9981 -0.605154 -3.05861 1 0.0826046 0.423108 61.2776 0.166727 -1.63874 -1 0.0605752 0.440604 8.09393 -1.22015 -0.891427 1 0.239786 1.18381 20.8324 0.450067 0.604932 -1 0.152782 1.71023 0.152782 1.71023 70.6176 30.0441 -0.0534364 0.109635 0.588595 -1.44985 1.0545 0.865199 2.98311e+17 0 60.8562 126.989 35.5283 86.6601 -0.0151422 1.22778 87.7653 33.1491 2.87557 -2.66628 33.1626 2.89072 238.781 0.566175 2
0.700498 0.478161 110.349 -1.20947 -0.892518 1 0.0414162 0.763262 134.781 -0.516881 -1.16221 -1 0.0157687 1.52263 77.532 -1.15074 -1.07233 -1 0.0589464 0.782931 15.4744 -1.18847 -1.6911 1 0.132878 2.55302 0.0661295 2.55302 92.1922 21.1364 0.830807 0.749097 0.347776 -2.35075 -0.981924 0.568857 2.98311e+17 0 332.946 127.502 29.0203 415.429 -1.49537 2.18878 417.008 92.8095 3.11635 -1.29699 92.8291 4.61172 1992.42 1.21265 3
0.901963 0.576065 66.7928 0.927521 -0.899683 -1 0.0504119 0.553394 33.281 0.916836 1.39227 1 0.129982 1.03175 12.0738 1.69753 -2.94912 -1 0.351943 0.975916 13.5305 0.977555 2.62858 1 0.413085 0.135642 0.214375 1.03175 85.9162 12.9027 -0.172996 0.547842 0.0150261 0.681358 -1.37841 0.546973 2.98311e+17 0 28.2579 125.894 49.9922 38.9216 -1.06329 1.3394 39.7638 31.8521 3.40116 -2.37572 31.8553 4.46445 333.659 0.867664 2
0.764316 0.543348 83.3825 2.21847 1.15408 -1 0.0213695 0.871236 31.8664 1.53306 2.98611 1 0.021343 0.459398 6.34891 1.15903 -2.03776 1 0.51903 0.895066 26.822 1.61071 2.41332 -1 0.15351 0.771667 0.208509 0.895066 89.3576 21.5422 0.604133 0.98731 0.185714 -1.36348 2.31792 0.250197 2.98311e+17 0 95.6119 125.534 18.6829 80.8802 2.79758 -1.38956 80.9209 32.752 2.6399 -0.62135 32.7809 0.157678 50.1929 0.038019 2
0.670879 0.534383 224.303 -0.636257 3.04626 -1 0.0154065 0.195964 51.8082 -0.652856 2.18969 1 0.0542381 0.311866 40.2124 -0.935133 2.74698 -1 0.0882089 0.501394 7.10794 -0.917403 -1.97847 1 0.742165 0.724448 0.704866 0.724448 89.56 27.4293 0.241216 0.470731 -0.440864 1.75503 1.94289 0.724448 2.98311e+17 0 302.695 125.815 59.8445 156.377 -1.70667 -0.528082 156.718 83.151 3.06198 0.575141 83.163 4.76864 1233.91 1.09527 3
0.701382 0.770691 42.2269 -0.437196 -1.93044 -1 0.155759 1.90829 77.7442 -0.474516 2.78464 1 0.044043 1.2581 31.383 -0.280303 -1.71282 -1 0.421107 1.06912 6.73724 -0.134694 1.72894 1 0.407505 1.77712 0.397149 1.90829 80.9493 28.835 -0.310264 -0.869117 0.7096 -0.143402 2.05743 0.951202 2.98311e+17 0 100.2 123.186 24.0344 53.1051 -0.752331 -0.0687343 54.0026 49.6629 -1.14357 0.458782 50.2009 0.391238 42.1659 0.0785188 3
1.08352 0.490206 26.794 -1.85614 -2.95943 -1 0.387277 2.12363 21.7966 0.823291 -1.41871 1 0.122129 2.11386 17.4256 -0.644309 3.1109 -1 0.1601 0.467569 29.9242 -0.379827 -2.60603 1 0.107669 1.06114 0.358369 2.12363 92.294 14.1261 -0.0233457 -0.124087 -0.225342 -0.895786 2.84861 0.190757 2.98311e+17 0 77.9396 124.316 14.9861 46.6089 0.275047 0.0285078 47.7683 42.2339 -0.496769 0.436609 43.2901 0.771816 44.9462 0.147557 2
0.965355 0.501912 78.9724 -1.53275 0.265645 1 0.0515151 0.687731 16.7577 -0.0613339 -2.31837 -1 0.0844369 0.845 31.9944 -1.16138 0.0726379 -1 0.126408 0.421405 26.469 -0.672594 -0.405307 1 0.272279 0.807824 0.218037 0.845 91.1807 19.9065 -0.125448 0.158058 -0.150317 -2.96194 0.514863 0.588073 2.98311e+17 0 121.044 125.046 38.5756 161.677 -1.30845 -2.85513 162.461 89.4927 -0.64836 0.635877 90.4925 0.66009 255.062 0.167788 2
0.639416 1.55171 240.374 -0.188771 -1.17749 -1 0.0298503 0.479649 122.223 -0.223351 -1.5508 1 0.0376147 0.390118 20.5993 -0.0832855 -1.83101 -1 0.166112 1.24324 117.816 -0.527769 -1.12146 1 0.0437776 0.659704 0.0913049 1.24324 63.8922 40.7312 0.671957 0.155222 -0.61203 -2.5403 1.54462 0.703273 2.98311e+17 0 490.77 124.163 33.3849 346.422 1.51714 1.98331 347.489 80.9889 -1.0729 1.01794 82.276 2.59004 594.242 0.580302 6
0.961449 0.472053 57.7241 1.36304 -2.29651 1 0.0803245 1.00393 24.3881 -0.397879 -0.617086 -1 0.264107 1.2574 34.2748 0.717081 -1.59412 -1 0.261681 1.36128 11.0772 0.397003 3.05566 1 0.270598 0.677671 0.252133 1.36128 93.4746 29.0893 0.212221 0.0472382 0.5138 1.55455 -2.64298 0.384362 2.98311e+17 0 95.5244 124.936 40.3943 144.28 0.482624 0.728804 145.911 47.6934 0.121719 2.27152 49.3192 0.360904 125.478 0.0890545 2
0.952022 1.68492 25.6363 -1.66931 -0.487937 1 0.242578 0.722634 29.6014 -0.206103 1.37625 -1 0.174402 1.00495 12.8145 -2.13681 -2.26624 1 0.39671 1.21963 34.5021 -1.73421 -1.0242 -1 0.052936 0.543131 0.370982 1.21963 62.3929 25.9128 0.712035 0.832276 0.239176 -2.66477 1.06137 0.357467 2.98311e+17 0 44.1324 124.314 22.0231 72.5584 0.120206 1.99609 74.5951 69.355 2.50773 -1.72375 69.396 2.38753 256.89 0.479078 2
0.65103 0.47486 49.5813 -2.32708 -0.686543 1 0.183686 0.376267 56.9041 -2.08794 1.4039 -1 0 0.702177 14.9691 -1.95928 -1.92813 -1 0.211203 1.23232 13.1892 -1.77117 0.197343 1 0.0736885 0.361028 0.211203 1.23232 92.7739 24.6963 -0.571984 0.626793 0.65708 1.3324 0.592584 0.375309 2.98311e+17 0 57.058 124.266 5.95702 83.9241 -1.14956 -2.69535 84.966 35.7024 0.787136 0.755698 36.5367 1.9367 167.5 0.380765 2
3.87689 0.508143 8.68945 -2.26518 0.490318 -1 0.524841 0.0824971 12.573 2.03521 -1.74759 1 0.158066 2.96992 23.1464 0.0916507 -1.04072 -1 0.126674 0.265521 10.6165 0.801429 2.80196 1 0.649765 1.13305 0.377945 2.96992 90.5082 31.5624 -0.574648 0.711197 0.381809 0.710515 -2.99519 0.548327 2.98311e+17 0 25.7308 124.884 1.93971 41.9896 -1.09303 -0.55049 42.5324 35.8771 1.17227 1.75223 36.1823 2.2653 130.648 0.432838 2
1.82564 0.618707 124.543 -1.22909 2.517 1 0.0783657 0.592701 24.8517 0.0995831 1.90331 -1 0.0811138 1.00285 12.4463 -1.70221 2.72932 -1 0.499001 1.0074 44.7064 -0.847906 1.68054 1 0.160651 1.68645 0.107399 1.68645 86.2928 31.4557 0.0186902 -0.434409 -0.703434 2.23383 0.00418523 0.732675 2.98311e+17 0 192.293 126.442 20.023 208.571 -0.910268 -0.820247 210.013 30.8798 2.64913 -2.66659 30.9156 3.5594 482.143 0.733263 2
0.637243 0.51511 46.9968 -0.0117912 3.06881 -1 0.12122 0.5919 49.4262 0.409671 -0.964686 1 0.0857817 1.10086 22.4687 0.731226 -3.1314 -1 0.187392 0.528604 9.07202 0.67579 0.966322 1 0.612026 0.337897 0.0804757 1.10086 89.3409 25.3672 -0.580326 -0.516729 0.278055 0.933246 -2.40019 0.627261 2.98311e+17 0 46.8625 124.764 72.13 84.5126 0.702227 0.107181 85.7531 33.8435 -1.39838 -2.90411 34.2849 2.1006 174.059 0.411528 2
0.757076 0.502984 74.0404 -1.37759 2.4943 1 0.0427183 1.06937 56.3843 -0.0835438 2.64992 -1 0.0998657 0.717872 38.5618 -1.15552 2.49471 1 0.125831 0.868411 31.365 -0.255359 2.38217 -1 0.115301 0.77859 0.0952955 1.06937 90.1299 32.6101 0.0375186 -0.174044 0.203466 0.222703 -0.258735 0.963532 2.98311e+17 0 199.542 124.821 23.0226 100.881 -1.89911 -1.21347 101.132 99.8059 -1.7342 -0.0286155 100.031 0.164908 121.488 0.053009 3
0.680326 0.506028 65.09 0.291787 -1.06812 1 0.0701852 0.85927 26.2937 -0.734793 1.47257 -1 0.19748 0.49332 19.1049 -0.133211 -3.08703 -1 0.254006 0.502185 9.96573 -0.489124 -0.937044 1 0.418696 3.59155 0.367083 3.59155 90.6313 24.7723 0.281849 -0.414519 0.805663 -1.2421 1.97479 0.512733 2.98311e+17 0 45.0174 123.785 29.996 54.5661 -0.724601 2.48308 55.3854 33.2659 -1.20687 3.12938 33.7277 0.482272 40.7022 0.0946238 2
0.75483 0.508792 60.6123 -2.29894 2.2994 -1 0.175365 0.825792 33.1106 -1.70658 -1.34096 1 0.350392 0.813322 17.8598 -1.68706 1.92078 1 0.0301586 1.45726 8.52637 -0.46111 1.49365 -1 0.594316 0.747514 0.283397 1.45726 90.9056 16.9269 -0.657939 -0.119818 0.199463 3.01554 -2.73445 0.704978 2.98311e+17 0 54.1237 125.274 12.3191 37.0562 2.62526 -0.559409 37.0847 30.5571 -2.74672 0.180892 30.5705 5.37199 492.355 1.06149 2
