        MR         R2
 5.234E+02  7.001E-01
 8.542E+02  2.037E-01
 8.994E+02  4.218E-01
 1.148E+03  2.599E-01
 8.263E+02  6.403E-01
 5.333E+02  5.673E-01
 1.065E+03  3.967E-01
 1.161E+03  4.883E-01
 6.058E+02  7.264E-01
 1.669E+03  8.733E-02
 1.012E+03  2.843E-01
 9.167E+02  2.733E-01
 9.750E+02  3.017E-01
 6.277E+02  1.028E-01
 1.634E+03  8.551E-02
 8.973E+02  1.639E-01
 9.763E+02  4.443E-01
 9.368E+02  2.145E-01
 9.936E+02  7.591E-02
 9.324E+02  9.033E-02
 1.077E+03  3.026E-01
 2.014E+03  6.225E-02
 7.591E+02  1.926E-01
 1.423E+03  1.514E-01
 9.959E+02  4.862E-01
 1.535E+03  1.189E-01
 6.567E+02  1.533E-01
 7.016E+02  3.526E-01
 5.914E+02  4.621E-01
 1.265E+03  3.197E-01
 8.246E+02  9.490E-01
 9.418E+02  9.249E-02
 7.834E+02  8.119E-01
 7.081E+02  4.115E-01
 8.352E+02  2.918E-01
 7.684E+02  4.499E-01
 5.722E+02  1.089E-01
 4.339E+02  7.915E-01
 9.449E+02  4.410E-02
 1.068E+03  3.727E-01
 5.473E+02  4.560E-01
 4.332E+02  3.522E-01
 1.781E+03  4.389E-02
 7.232E+02  6.142E-01
 1.167E+03  1.845E-01
 6.747E+02  5.565E-01
 6.529E+02  5.925E-01
 8.122E+02  3.593E-01
 1.057E+03  2.349E-01
 5.599E+02  3.690E-01
 7.452E+02  4.491E-01
 1.418E+03  5.697E-01
 1.466E+03  2.039E-01
 1.013E+03  1.999E-01
 7.894E+02  8.694E-02
 1.608E+03  1.583E-01
 6.929E+02  6.505E-01
 1.832E+03  1.138E-01
 5.441E+02  2.569E-01
 2.559E+03  1.815E-02
 8.373E+02  5.047E-01
 1.329E+03  5.855E-02
 9.307E+02  2.566E-01
 8.772E+02  2.654E-01
 9.174E+02  3.446E-02
 7.080E+02  4.444E-02
 7.165E+02  6.744E-01
 1.295E+03  1.032E-01
 8.619E+02  6.978E-02
 1.993E+03  1.926E-01
 7.215E+02  6.269E-01
 1.940E+03  1.274E-01
 2.665E+03  5.042E-02
 7.882E+02  2.355E-01
 7.619E+02  7.950E-01
 1.177E+03  6.258E-03
 1.139E+03  1.328E-01
 1.797E+03  9.423E-02
 6.411E+02  7.180E-02
 1.436E+03  1.110E-01
 7.976E+02  2.022E-01
 6.504E+02  5.698E-01
 9.930E+02  1.884E-01
 8.058E+02  1.879E-01
 6.290E+02  3.590E-01
 2.256E+03  1.173E-01
 7.892E+02  9.677E-02
 1.553E+03  2.583E-02
 7.606E+02  2.115E-01
 1.035E+03  5.670E-02
 1.473E+03  8.374E-02
 1.079E+03  3.886E-01
 1.798E+03  6.208E-02
 5.467E+02  5.224E-01
 9.515E+02  3.668E-01
 1.206E+03  4.403E-02
 5.112E+02  6.502E-01
 6.355E+02  3.812E-01
 7.015E+02  1.639E-01
 1.553E+03  1.394E-01
 2.022E+03  1.636E-01
 5.209E+02  8.444E-02
 5.811E+02  5.379E-01
 8.738E+02  2.839E-01
 5.864E+02  5.592E-01
 8.880E+02  5.034E-01
 5.894E+02  5.095E-01
 8.994E+02  2.119E-01
 8.108E+02  3.461E-01
 8.353E+02  4.097E-01
 9.265E+02  1.111E-01
 1.067E+03  1.982E-01
 7.864E+02  3.438E-01
 1.070E+03  5.493E-01
 2.299E+03  1.444E-01
 5.844E+02  4.179E-01
 1.067E+03  5.084E-02
 6.918E+02  1.875E-03
 1.249E+03  1.610E-01
 7.847E+02  1.486E-01
 6.263E+02  5.248E-01
 1.626E+03  4.294E-01
 2.297E+03  6.638E-02
 4.744E+02  1.145E-01
 1.074E+03  2.758E-01
 1.114E+03  4.405E-01
 8.082E+02  1.202E-01
 1.033E+03  4.332E-01
 1.225E+03  3.478E-01
 1.326E+03  2.969E-01
 2.024E+03  1.659E-01
 6.948E+02  3.415E-01
 7.116E+02  4.086E-01
 4.022E+02  4.683E-01
 2.578E+03  4.990E-03
 9.000E+02  1.412E-01
 9.940E+02  1.504E-01
 1.172E+03  1.449E-01
 9.857E+02  2.177E-01
 5.994E+02  1.595E-01
 8.384E+02  2.290E-01
 1.016E+03  1.768E-01
 7.106E+02  1.689E-01
 6.161E+02  5.157E-01
